-2372.51096255599804863, -1855.89843195603066306
-2344.04215280017842815, -1621.08973453494263595
-2321.99639405365905986, -1399.48376515315749202
-2321.99639405094376343, -1399.48119140988569598
-2319.26821304955137748, -1372.05984189355285707
-2321.99633072810956946, -1339.46384102571551011
-2321.99633072627148067, -1339.46209902872897146
-2333.27964919270698374, -1204.63994045052686488
-2331.82292873850565229, -1114.58198752232851803
-2328.70133067219467193, -1064.37586450734556820
-2322.51237361177845742, -1049.67965180119995239
-2316.31513247013799628, -1060.14164774172513717
-2310.02366432284816256, -1106.22585671654928774
-2301.16876057729314198, -1212.02697886879604994
-2294.43742167050595526, -1292.45828712124125559
-2271.08483480041195435, -1493.38242020923462405
-2252.45109687995318382, -1660.91228543238639759
-2240.58120346234409226, -1776.38406172082886769
-2240.58139105877080510, -1776.38406172082886769
-2233.73104746677972798, -1843.02502452954786349
-2232.31168383948943301, -1855.84373749773885720
-2276.23941185247622343, -1855.86095410116240600
-2279.07110834329250793, -1776.38406172082886769
-2281.91957515285184854, -1696.43267067266447157
-2321.99569631905069400, -1596.87248944943326023
-2321.99595103036563160, -1596.87185667600238048
-2322.33254216026580252, -1596.03567111423103597
-2340.87292710460405942, -1715.37629325753368903
-2351.46291439278184043, -1805.40910021185368350
-2351.46291439293918302, -1805.41426506059997337
-2353.49046208008485337, -1822.64857118828490457
-2357.40077486499831139, -1855.89263653685384270
